time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,14,0,3,E,1,Sunny
07:00,14,0,4,ESE,1,Sunny
08:00,16,0,5,SSE,1,Sunny
09:00,17,0,6,S,1,Sunny
10:00,17,0,7,S,1,Sunny
11:00,18,0,7,SSW,1,Sunny
12:00,18,0,7,SSW,3,Sunny Intervals
13:00,19,0,7,SSW,3,Sunny Intervals
14:00,18,0,8,SW,3,Sunny Intervals
15:00,19,0,9,SW,3,Sunny Intervals
16:00,19,0,10,SW,3,Sunny Intervals
17:00,18,0,11,WSW,1,Sunny
18:00,18,0,12,WSW,1,Sunny
19:00,17,0,13,WSW,3,Sunny Intervals
20:00,16,0,13,WSW,3,Sunny Intervals
21:00,16,0,13,WSW,3,Sunny Intervals
22:00,15,0,13,WSW,2,Partly Cloudy
23:00,15,8,13,WSW,7,Light Cloud
00:00,15,0,13,WSW,2,Partly Cloudy
01:00,15,0,12,WSW,2,Partly Cloudy
02:00,15,0,11,WSW,2,Partly Cloudy
03:00,15,0,11,W,2,Partly Cloudy
04:00,15,0,11,W,2,Partly Cloudy
05:00,15,0,11,W,2,Partly Cloudy
