time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,17,0,17,ENE,0,Clear Sky
07:00,17,0,19,ENE,1,Sunny
08:00,18,0,21,ENE,1,Sunny
09:00,19,0,24,ENE,1,Sunny
10:00,20,0,23,ENE,1,Sunny
11:00,21,0,23,ENE,1,Sunny
12:00,22,0,22,E,1,Sunny
13:00,23,0,21,E,1,Sunny
14:00,23,0,20,E,1,Sunny
15:00,23,0,18,E,1,Sunny
16:00,23,0,17,E,1,Sunny
17:00,22,0,13,ESE,1,Sunny
18:00,21,0,12,E,1,Sunny
19:00,21,0,10,E,1,Sunny
20:00,20,0,9,E,0,Clear Sky
21:00,19,0,8,E,0,Clear Sky
22:00,19,0,7,ESE,0,Clear Sky
23:00,18,0,6,ESE,0,Clear Sky
00:00,18,0,5,E,0,Clear Sky
01:00,18,0,5,E,0,Clear Sky
02:00,18,0,5,E,0,Clear Sky
03:00,18,0,5,ENE,0,Clear Sky
04:00,18,0,5,NNE,0,Clear Sky
05:00,17,0,5,NNE,0,Clear Sky
