time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,17,57,20,WSW,11,Drizzle
07:00,17,52,19,WSW,12,Light Rain
08:00,17,58,18,WSW,12,Light Rain
09:00,18,55,19,WSW,12,Light Rain
10:00,18,56,18,WSW,12,Light Rain
11:00,18,56,18,WSW,12,Light Rain
12:00,18,50,18,WSW,12,Light Rain
13:00,19,38,18,WSW,12,Light Rain
14:00,18,27,18,WSW,10,Light Rain Showers
15:00,19,19,18,WSW,10,Light Rain Showers
16:00,19,13,18,WSW,10,Light Rain Showers
17:00,19,0,17,WSW,3,Sunny Intervals
18:00,18,0,16,WSW,1,Sunny
19:00,18,0,15,WSW,1,Sunny
20:00,17,0,14,WSW,1,Sunny
21:00,16,0,13,W,0,Clear Sky
22:00,16,0,12,W,0,Clear Sky
23:00,16,0,12,W,0,Clear Sky
00:00,15,0,13,W,0,Clear Sky
01:00,15,0,13,W,2,Partly Cloudy
02:00,15,0,14,W,2,Partly Cloudy
03:00,15,0,14,W,2,Partly Cloudy
04:00,15,10,15,W,2,Partly Cloudy
05:00,15,16,15,W,12,Light Rain
