time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType
11:00,18,17,15,SW,lightCloud
12:00,18,0,16,SW,lightCloud
13:00,18,41,17,SW,lightRain
14:00,18,42,18,SW,lightRain
15:00,18,34,18,SW,lightRain
16:00,18,0,19,SW,sunny
17:00,18,0,19,SW,sunny
18:00,17,0,19,SW,sunnyIntervals
19:00,17,0,19,SW,sunnyIntervals
20:00,17,0,18,WSW,sunnyIntervals
21:00,16,0,18,WSW,sunny
22:00,16,0,16,WSW,partlyCloudy
23:00,15,0,14,W,clearSky
00:00,15,0,14,W,clearSky
01:00,15,0,13,W,clearSky
02:00,14,0,13,W,clearSky
03:00,14,0,13,W,clearSky
04:00,14,0,13,W,clearSky
05:00,14,0,13,W,clearSky
