time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType
11:00,19,55,9,SSW,unknown
12:00,19,38,9,SSW,showers
13:00,19,24,11,SSW,lightCloud
14:00,19,0,11,SSW,sunnyIntervals
15:00,19,0,10,SSW,sunnyIntervals
16:00,19,11,10,SW,sunnyIntervals
17:00,19,20,9,SW,sunnyIntervals
18:00,19,13,9,SW,sunnyIntervals
19:00,18,7,8,SW,sunny
20:00,17,0,8,SW,sunny
21:00,17,0,7,SW,sunny
22:00,16,10,7,SW,clearSky
23:00,15,10,6,WSW,clearSky
00:00,15,0,6,WSW,clearSky
01:00,15,0,6,WSW,clearSky
02:00,15,0,5,WSW,clearSky
03:00,15,0,5,SW,clearSky
04:00,15,0,4,SW,clearSky
05:00,15,21,4,SW,partlyCloudy
