time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,15,0,8,NW,0,Clear Sky
07:00,15,0,8,NW,1,Sunny
08:00,16,0,8,WNW,1,Sunny
09:00,17,0,8,WNW,1,Sunny
10:00,19,0,9,W,1,Sunny
11:00,19,0,11,W,3,Sunny Intervals
12:00,20,0,13,WSW,3,Sunny Intervals
13:00,20,0,15,WSW,3,Sunny Intervals
14:00,20,0,16,WSW,3,Sunny Intervals
15:00,20,0,17,W,3,Sunny Intervals
16:00,20,0,18,W,3,Sunny Intervals
17:00,19,0,18,W,3,Sunny Intervals
18:00,19,0,19,WNW,3,Sunny Intervals
19:00,18,0,19,WNW,3,Sunny Intervals
20:00,17,0,19,WNW,3,Sunny Intervals
21:00,16,0,19,WNW,2,Partly Cloudy
22:00,15,0,19,WNW,2,Partly Cloudy
23:00,15,0,18,WNW,2,Partly Cloudy
00:00,14,0,17,WNW,0,Clear Sky
01:00,14,0,17,WNW,0,Clear Sky
02:00,13,7,17,WNW,0,Clear Sky
03:00,13,6,17,WNW,0,Clear Sky
04:00,13,7,17,WNW,0,Clear Sky
05:00,13,0,18,WNW,0,Clear Sky
