time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
14:00,18,0,32,W,3,Sunny Intervals
15:00,18,27,30,W,3,Sunny Intervals
16:00,17,18,29,W,3,Sunny Intervals
17:00,17,0,28,W,1,Sunny
18:00,16,0,26,W,1,Sunny
19:00,15,0,29,W,1,Sunny
20:00,15,0,26,W,0,Clear Sky
21:00,14,0,28,W,0,Clear Sky
22:00,14,0,27,W,0,Clear Sky
23:00,14,0,28,W,0,Clear Sky
00:00,14,0,29,W,0,Clear Sky
01:00,14,0,28,WSW,0,Clear Sky
02:00,14,0,28,WSW,0,Clear Sky
03:00,14,0,29,WSW,0,Clear Sky
04:00,15,19,32,WSW,2,Partly Cloudy
05:00,15,19,37,WSW,2,Partly Cloudy
