time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
12:00,15,31,17,WNW,10,Light Rain Showers
13:00,15,39,19,WNW,10,Light Rain Showers
14:00,15,49,21,WNW,10,Light Rain Showers
15:00,16,32,23,WNW,10,Light Rain Showers
16:00,15,38,22,WNW,10,Light Rain Showers
17:00,15,21,23,WNW,3,Sunny Intervals
18:00,14,0,22,WNW,3,Sunny Intervals
19:00,13,0,21,WNW,1,Sunny
20:00,13,0,20,WNW,0,Clear Sky
21:00,12,0,18,WNW,0,Clear Sky
22:00,11,0,17,WNW,0,Clear Sky
23:00,11,0,16,WNW,0,Clear Sky
00:00,11,0,15,WNW,0,Clear Sky
01:00,10,0,15,WNW,0,Clear Sky
02:00,10,0,14,WNW,0,Clear Sky
03:00,10,0,14,WNW,0,Clear Sky
04:00,10,0,14,WNW,0,Clear Sky
05:00,10,0,12,WNW,0,Clear Sky
