time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType
09:00,16,91,16,SSE,lightRain
10:00,16,93,17,SSE,lightRain
11:00,16,90,17,SSE,lightRain
12:00,17,90,19,SSE,lightRain
13:00,17,90,19,SSE,unknown
14:00,17,90,21,SSE,unknown
15:00,17,90,23,S,unknown
16:00,18,90,25,S,unknown
17:00,18,90,24,SSW,unknown
18:00,18,57,22,SW,showers
19:00,17,23,20,SW,showers
20:00,17,0,20,SW,sunnyIntervals
21:00,16,0,19,SW,sunnyIntervals
22:00,16,0,19,SW,partlyCloudy
23:00,16,0,18,SW,partlyCloudy
00:00,16,0,19,SW,partlyCloudy
01:00,16,0,19,SW,partlyCloudy
02:00,16,7,19,SW,partlyCloudy
03:00,16,32,21,SW,unknown
04:00,16,49,21,SSW,unknown
05:00,16,45,21,SSW,unknown
