time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,17,54,19,WSW,11,Drizzle
07:00,17,51,20,WSW,11,Drizzle
08:00,18,6,21,WSW,7,Light Cloud
09:00,18,0,22,WSW,7,Light Cloud
10:00,19,0,22,WSW,3,Sunny Intervals
11:00,19,0,23,WSW,3,Sunny Intervals
12:00,19,0,23,WSW,3,Sunny Intervals
13:00,20,0,27,WSW,3,Sunny Intervals
14:00,19,0,28,WSW,3,Sunny Intervals
15:00,19,0,29,WSW,3,Sunny Intervals
16:00,19,0,29,WSW,1,Sunny
17:00,19,0,29,WSW,3,Sunny Intervals
18:00,18,0,28,WSW,1,Sunny
19:00,18,0,28,WSW,1,Sunny
20:00,17,0,27,WSW,1,Sunny
21:00,16,0,26,WSW,2,Partly Cloudy
22:00,16,0,26,WSW,2,Partly Cloudy
23:00,16,0,25,WSW,2,Partly Cloudy
00:00,15,0,25,WSW,2,Partly Cloudy
01:00,15,0,25,WSW,0,Clear Sky
02:00,15,0,25,WSW,2,Partly Cloudy
03:00,15,0,25,WSW,2,Partly Cloudy
04:00,15,0,26,WSW,2,Partly Cloudy
05:00,15,0,26,WSW,2,Partly Cloudy
