time,temperature
06:00,15
07:00,16
08:00,17
09:00,18
10:00,18
11:00,18
12:00,19
13:00,19
14:00,19
15:00,19
16:00,19
17:00,19
18:00,18
19:00,18
20:00,17
21:00,16
22:00,16
23:00,16
00:00,16
01:00,16
02:00,15
03:00,15
04:00,16
05:00,16
