time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType
06:00,14,0,13,W,sunny
07:00,15,0,14,W,sunny
08:00,16,0,15,WSW,sunnyIntervals
09:00,17,0,16,WSW,sunnyIntervals
10:00,17,0,18,WSW,sunnyIntervals
11:00,18,9,18,WSW,sunnyIntervals
12:00,18,0,19,WSW,sunnyIntervals
13:00,18,0,20,WSW,sunnyIntervals
14:00,18,16,21,WSW,sunnyIntervals
15:00,18,21,20,WSW,sunnyIntervals
16:00,18,21,21,WSW,sunnyIntervals
17:00,18,24,20,WSW,sunnyIntervals
18:00,17,31,19,WSW,showers
19:00,17,18,18,WSW,sunnyIntervals
20:00,17,0,16,WSW,sunny
21:00,16,0,15,WSW,sunny
22:00,15,0,14,WSW,clearSky
23:00,15,0,13,WSW,clearSky
00:00,15,0,13,WSW,clearSky
01:00,15,0,13,WSW,clearSky
02:00,15,0,12,WSW,clearSky
03:00,14,0,12,WSW,partlyCloudy
04:00,14,0,11,WSW,partlyCloudy
05:00,15,0,11,WSW,partlyCloudy
