time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
06:00,17,88,23,E,10,Light Rain Showers
07:00,17,92,24,ESE,14,Heavy Rain Showers
08:00,18,80,24,ESE,10,Light Rain Showers
09:00,18,62,23,ESE,10,Light Rain Showers
10:00,18,57,24,ESE,10,Light Rain Showers
11:00,19,17,23,ESE,8,Thick Cloud
12:00,19,0,24,ESE,8,Thick Cloud
13:00,19,0,24,ESE,7,Light Cloud
14:00,19,0,23,ESE,7,Light Cloud
15:00,19,0,23,ESE,7,Light Cloud
16:00,19,0,19,SE,3,Sunny Intervals
17:00,19,23,18,SE,7,Light Cloud
18:00,19,42,15,SE,12,Light Rain
19:00,19,54,16,SE,12,Light Rain
20:00,18,77,18,SE,12,Light Rain
21:00,18,80,20,SE,12,Light Rain
22:00,18,76,22,SE,12,Light Rain
23:00,18,72,26,SSE,15,Heavy Rain
00:00,18,80,30,S,15,Heavy Rain
01:00,19,70,31,S,12,Light Rain
02:00,18,21,31,SSW,2,Partly Cloudy
03:00,18,0,31,SW,2,Partly Cloudy
04:00,17,0,30,SW,2,Partly Cloudy
05:00,17,0,29,SW,2,Partly Cloudy
