time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType,weatherTypeDescription
13:00,19,0,27,SW,3,Sunny Intervals
14:00,18,0,26,SW,1,Sunny
15:00,18,0,25,SW,3,Sunny Intervals
16:00,18,0,23,SW,3,Sunny Intervals
17:00,18,0,21,SW,3,Sunny Intervals
18:00,17,0,20,SW,1,Sunny
19:00,17,0,18,SW,1,Sunny
20:00,17,0,16,SW,3,Sunny Intervals
21:00,16,0,17,SW,2,Partly Cloudy
22:00,16,6,18,SSW,2,Partly Cloudy
23:00,16,44,19,SSW,9,Light Rain Showers
00:00,16,71,19,SSW,9,Light Rain Showers
01:00,16,80,19,SSW,15,Heavy Rain
02:00,16,80,22,SSW,12,Light Rain
03:00,16,75,24,SSW,12,Light Rain
04:00,16,72,24,S,12,Light Rain
05:00,16,77,24,SSW,12,Light Rain
