time,temperature,chanceOfRain,windSpeedMph,windDirection,weatherType
06:00,15,0,19,WSW,sunnyIntervals
07:00,15,0,19,WSW,sunnyIntervals
08:00,16,0,19,WSW,sunnyIntervals
09:00,16,0,19,WSW,sunnyIntervals
10:00,17,0,19,WSW,sunnyIntervals
11:00,18,0,20,WSW,sunnyIntervals
12:00,18,0,20,WSW,sunnyIntervals
13:00,18,0,21,SW,sunnyIntervals
14:00,17,0,21,WSW,sunnyIntervals
15:00,18,12,21,WSW,sunnyIntervals
16:00,18,17,21,WSW,sunnyIntervals
17:00,18,0,20,WSW,sunnyIntervals
18:00,17,0,19,WSW,sunnyIntervals
19:00,17,0,18,WSW,sunnyIntervals
20:00,16,0,17,WSW,sunnyIntervals
21:00,15,0,15,WSW,sunny
22:00,15,0,14,WSW,clearSky
23:00,14,0,14,WSW,clearSky
00:00,14,0,13,WSW,clearSky
01:00,14,0,12,WSW,clearSky
02:00,14,0,12,WSW,clearSky
03:00,14,0,11,WSW,clearSky
04:00,14,0,11,WSW,clearSky
05:00,14,0,11,WSW,clearSky
